county_id,year,gas_station_count,gasoline_sales,diesel_sales
1,2012,379,568.0,36.0
3,2012,28,14.0,2.0
4,2012,102,78.0,9.0
5,2012,27,12.0,2.0
6,2012,20,10.0,5.0
7,2012,297,419.0,20.0
8,2012,14,7.0,1.0
9,2012,78,75.0,7.0
10,2012,344,341.0,40.0
11,2012,22,12.0,5.0
12,2012,89,53.0,12.0
13,2012,69,54.0,8.0
14,2012,25,16.0,2.0
15,2012,359,356.0,158.0
16,2012,58,47.0,9.0
17,2012,37,20.0,2.0
18,2012,19,6.0,1.0
19,2012,2009,3451.0,245.0
20,2012,69,53.0,28.0
21,2012,70,107.0,3.0
22,2012,23,6.0,1.0
23,2012,61,43.0,9.0
24,2012,95,92.0,55.0
26,2012,15,2.0,1.0
27,2012,140,147.0,30.0
28,2012,38,58.0,7.0
29,2012,43,34.0,4.0
30,2012,671,1355.0,46.0
31,2012,141,192.0,15.0
32,2012,28,7.0,1.0
33,2012,534,895.0,107.0
34,2012,379,560.0,32.0
36,2012,564,878.0,189.0
37,2012,791,1277.0,74.0
38,2012,102,149.0,4.0
39,2012,233,299.0,99.0
40,2012,99,124.0,13.0
41,2012,201,306.0,10.0
42,2012,126,166.0,13.0
43,2012,402,697.0,32.0
44,2012,89,105.0,5.0
45,2012,128,91.0,19.0
47,2012,46,23.0,20.0
48,2012,154,213.0,16.0
49,2012,140,189.0,16.0
50,2012,189,205.0,30.0
51,2012,37,40.0,4.0
52,2012,43,27.0,42.0
54,2012,219,142.0,32.0
55,2012,38,18.0,2.0
56,2012,191,310.0,27.0
57,2012,64,87.0,33.0
58,2012,34,26.0,4.0
1,2013,370,603.0,34.0
3,2013,22,12.0,2.0
4,2013,95,81.0,10.0
5,2013,26,13.0,2.0
6,2013,28,13.0,5.0
7,2013,301,422.0,21.0
8,2013,14,5.0,1.0
9,2013,69,72.0,6.0
10,2013,329,344.0,29.0
11,2013,26,14.0,5.0
12,2013,95,64.0,14.0
13,2013,73,58.0,10.0
14,2013,24,16.0,4.0
15,2013,355,367.0,148.0
16,2013,59,49.0,6.0
17,2013,46,24.0,3.0
18,2013,17,6.0,1.0
19,2013,2019,3445.0,239.0
20,2013,54,54.0,23.0
21,2013,62,106.0,3.0
22,2013,19,5.0,1.0
23,2013,65,42.0,6.0
24,2013,94,94.0,62.0
26,2013,22,8.0,1.0
27,2013,148,177.0,27.0
28,2013,35,52.0,3.0
29,2013,30,25.0,2.0
30,2013,658,1332.0,42.0
31,2013,124,167.0,12.0
32,2013,22,4.0,1.0
33,2013,525,925.0,109.0
34,2013,366,568.0,21.0
36,2013,573,889.0,206.0
37,2013,783,1241.0,73.0
38,2013,108,161.0,5.0
39,2013,229,325.0,113.0
40,2013,108,140.0,12.0
41,2013,185,311.0,10.0
42,2013,130,172.0,15.0
43,2013,415,696.0,35.0
44,2013,84,101.0,6.0
45,2013,120,83.0,22.0
47,2013,28,12.0,19.0
48,2013,142,202.0,17.0
49,2013,151,208.0,18.0
50,2013,169,183.0,19.0
51,2013,37,42.0,5.0
52,2013,36,24.0,47.0
54,2013,199,116.0,39.0
55,2013,36,15.0,2.0
56,2013,198,314.0,29.0
57,2013,66,96.0,37.0
58,2013,44,30.0,4.0
1,2014,310,491.0,27.0
3,2014,26,15.0,2.0
4,2014,98,85.0,10.0
5,2014,31,14.0,2.0
6,2014,26,10.0,2.0
7,2014,268,392.0,17.0
8,2014,14,7.0,1.0
9,2014,73,52.0,6.0
10,2014,318,300.0,25.0
11,2014,24,16.0,5.0
12,2014,70,44.0,5.0
13,2014,89,83.0,11.0
14,2014,28,17.0,3.0
15,2014,361,384.0,171.0
16,2014,63,45.0,6.0
17,2014,43,25.0,3.0
18,2014,23,8.0,2.0
19,2014,2105,3749.0,267.0
20,2014,67,45.0,31.0
21,2014,53,75.0,2.0
22,2014,18,9.0,2.0
23,2014,58,40.0,5.0
24,2014,101,83.0,68.0
26,2014,24,8.0,1.0
27,2014,121,126.0,18.0
28,2014,23,39.0,3.0
29,2014,35,27.0,6.0
30,2014,722,1465.0,51.0
31,2014,136,170.0,13.0
32,2014,34,8.0,1.0
33,2014,581,1010.0,138.0
34,2014,319,442.0,29.0
36,2014,602,948.0,210.0
37,2014,827,1352.0,93.0
38,2014,79,102.0,2.0
39,2014,220,312.0,119.0
40,2014,113,145.0,17.0
41,2014,144,229.0,6.0
42,2014,124,178.0,18.0
43,2014,365,661.0,35.0
44,2014,67,77.0,3.0
45,2014,119,79.0,18.0
47,2014,34,14.0,20.0
48,2014,125,167.0,11.0
49,2014,142,210.0,17.0
50,2014,173,229.0,27.0
51,2014,38,24.0,3.0
52,2014,35,26.0,35.0
54,2014,216,155.0,43.0
55,2014,35,21.0,2.0
56,2014,205,358.0,34.0
57,2014,67,90.0,40.0
58,2014,37,20.0,3.0
1,2015,328,542.0,49.0
3,2015,23,13.0,2.0
4,2015,104,78.0,11.0
5,2015,26,14.0,2.0
6,2015,23,9.0,4.0
7,2015,269,380.0,24.0
8,2015,12,6.0,2.0
9,2015,74,81.0,9.0
10,2015,328,331.0,50.0
11,2015,23,16.0,6.0
12,2015,88,59.0,13.0
13,2015,77,79.0,11.0
14,2015,27,18.0,4.0
15,2015,346,375.0,160.0
16,2015,62,51.0,9.0
17,2015,37,23.0,3.0
18,2015,25,9.0,3.0
19,2015,2008,3465.0,328.0
20,2015,60,44.0,33.0
21,2015,69,105.0,3.0
22,2015,22,6.0,1.0
23,2015,58,40.0,7.0
24,2015,107,105.0,69.0
26,2015,23,7.0,1.0
27,2015,155,184.0,29.0
28,2015,42,63.0,8.0
29,2015,47,40.0,8.0
30,2015,678,1370.0,59.0
31,2015,145,209.0,16.0
32,2015,27,7.0,1.0
33,2015,583,1039.0,152.0
34,2015,379,584.0,36.0
36,2015,598,909.0,253.0
37,2015,822,1408.0,111.0
38,2015,91,134.0,6.0
39,2015,255,360.0,131.0
40,2015,123,147.0,24.0
41,2015,185,304.0,19.0
42,2015,134,186.0,26.0
43,2015,394,727.0,47.0
44,2015,91,96.0,6.0
45,2015,140,95.0,27.0
47,2015,51,27.0,26.0
48,2015,136,201.0,18.0
49,2015,143,201.0,20.0
50,2015,191,252.0,33.0
51,2015,41,38.0,5.0
52,2015,44,30.0,48.0
54,2015,200,143.0,43.0
55,2015,37,23.0,3.0
56,2015,200,321.0,34.0
57,2015,71,103.0,35.0
58,2015,38,30.0,3.0
1,2016,366,582.0,54.0
3,2016,24,14.0,2.0
4,2016,103,83.0,13.0
5,2016,28,15.0,3.0
6,2016,22,11.0,4.0
7,2016,283,431.0,26.0
8,2016,13,7.0,2.0
9,2016,78,81.0,9.0
10,2016,343,358.0,46.0
11,2016,24,17.0,14.0
12,2016,81,61.0,14.0
13,2016,78,86.0,16.0
14,2016,25,18.0,4.0
15,2016,363,407.0,149.0
16,2016,60,57.0,6.0
17,2016,40,21.0,1.0
18,2016,22,8.0,4.0
19,2016,2091,3577.0,309.0
20,2016,74,59.0,31.0
21,2016,65,102.0,4.0
22,2016,22,8.0,2.0
23,2016,65,42.0,10.0
24,2016,110,114.0,66.0
26,2016,22,8.0,1.0
27,2016,144,177.0,28.0
28,2016,36,57.0,7.0
29,2016,43,40.0,9.0
30,2016,685,1375.0,59.0
31,2016,137,204.0,17.0
32,2016,24,5.0,1.0
33,2016,565,1035.0,145.0
34,2016,384,600.0,42.0
36,2016,619,1010.0,252.0
37,2016,806,1372.0,105.0
38,2016,93,134.0,6.0
39,2016,236,340.0,131.0
40,2016,108,142.0,23.0
41,2016,204,325.0,14.0
42,2016,126,181.0,25.0
43,2016,410,717.0,34.0
44,2016,82,95.0,6.0
45,2016,134,82.0,24.0
47,2016,47,27.0,22.0
48,2016,144,210.0,19.0
49,2016,156,209.0,23.0
50,2016,190,244.0,22.0
51,2016,43,39.0,6.0
52,2016,41,29.0,39.0
54,2016,211,152.0,42.0
55,2016,38,23.0,3.0
56,2016,200,330.0,32.0
57,2016,80,110.0,37.0
