County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total
Alameda,4,72,1590,3667,510,50,5893
Alpine,0,0,12,0,0,0,12
Amador,0,0,26,0,8,0,34
Butte,6,0,72,53,25,1,157
Calaveras,0,2,9,0,12,0,23
Colusa,0,0,16,3,18,0,37
Contra Costa,0,2,678,604,341,7,1632
Del Norte,0,0,18,0,28,0,46
El Dorado,1,0,166,8,83,0,258
Fresno,23,1,476,483,283,26,1292
Glenn,0,0,2,0,6,0,8
Humboldt,0,0,111,10,36,0,157
Imperial,0,0,15,12,24,1,52
Inyo,0,0,4,6,72,1,83
Kern,5,1,216,233,371,6,832
Kings,0,0,70,248,112,1,431
Lake,0,0,18,0,0,0,18
Lassen,0,1,7,0,8,0,16
Los Angeles,23,121,8423,20716,2093,193,31569
Madera,0,1,76,39,79,8,203
Marin,1,0,472,444,103,0,1020
Mariposa,0,0,30,0,32,0,62
Mendocino,0,0,134,35,60,0,229
Merced,10,2,75,27,68,0,182
Modoc,0,0,4,0,8,0,12
Mono,0,0,19,7,26,0,52
Monterey,0,0,252,60,178,1,491
Napa,0,0,368,55,55,0,478
Nevada,0,0,50,42,57,0,149
Orange,1,0,3117,2724,904,25,6771
Placer,0,1,271,125,221,4,622
Plumas,0,0,7,0,0,0,7
Riverside,0,1,1044,211,564,15,1835
Sacramento,65,18,1098,752,311,9,2253
San Benito,0,0,12,10,5,0,27
San Bernardino,1,11,785,530,614,16,1957
San Diego,0,17,2841,4972,695,58,8583
San Francisco,9,6,873,1334,172,37,2431
San Joaquin,0,0,315,313,174,23,825
San Luis Obispo,0,1,410,228,136,2,777
San Mateo,34,103,2152,2853,370,21,5533
Santa Barbara,0,2,345,163,110,28,648
Santa Clara,2,75,3974,15372,730,67,20220
Santa Cruz,0,0,199,83,77,0,359
Shasta,0,0,94,45,85,3,227
Sierra,0,0,2,0,0,0,2
Siskiyou,0,1,24,4,48,0,77
Solano,2,0,249,166,189,2,608
Sonoma,0,0,485,265,134,18,902
Stanislaus,0,1,107,68,70,3,249
Sutter,0,0,9,7,16,3,35
Tehama,0,0,12,50,32,0,94
Trinity,0,0,4,2,9,0,15
Tulare,0,3,128,68,67,25,291
Tuolumne,0,0,41,5,9,0,55
Ventura,4,0,399,350,166,11,930
Yolo,14,0,243,145,61,5,468
Yuba,0,0,18,39,12,0,69
Unknown,0,6,0,3339,0,23,3368
Total,205,449,32667,60975,10677,693,105666
