County,Public Level 1,Shared Private Level 1,Public Level 2,Shared Private Level 2,Public DC Fast,Shared Private DC Fast,Total,,,,,
Alameda,4,72,2622,4040,898,102,7738,,,,,
Alpine,0,0,20,2,0,0,22,,,,,
Amador,0,0,55,4,8,0,67,,,,,
Butte,0,0,175,99,41,0,315,,,,,
Calaveras,0,2,19,6,21,0,48,,,,,
Colusa,0,0,21,7,19,0,47,,,,,
Contra Costa,2,2,1151,960,447,8,2570,,,,,
Del Norte,0,0,27,4,30,0,61,,,,,
El Dorado,1,0,224,15,107,1,348,,,,,
Fresno,23,0,882,583,426,8,1922,,,,,
Glenn,0,0,7,7,22,0,36,,,,,
Humboldt,0,0,231,10,78,0,319,,,,,
Imperial,0,0,46,32,76,1,155,,,,,
Inyo,0,0,44,9,85,1,139,,,,,
Kern,5,1,617,302,523,2,1450,,,,,
Kings,0,0,120,248,124,0,492,,,,,
Lake,0,0,82,16,9,0,107,,,,,
Lassen,0,1,12,2,8,0,23,,,,,
Los Angeles,41,121,25337,44336,2944,215,72994,,,,,
Madera,0,1,124,63,87,1,276,,,,,
Marin,1,0,689,558,122,2,1372,,,,,
Mariposa,0,0,100,9,32,0,141,,,,,
Mendocino,0,0,229,47,63,0,339,,,,,
Merced,10,0,137,50,83,0,280,,,,,
Modoc,0,0,6,0,9,0,15,,,,,
Mono,0,0,33,19,40,0,92,,,,,
Monterey,2,0,444,100,236,5,787,,,,,
Napa,0,0,617,78,70,0,765,,,,,
Nevada,0,0,72,65,69,0,206,,,,,
Orange,20,0,4848,3756,1315,43,9982,,,,,
Placer,0,1,373,195,272,14,855,,,,,
Plumas,0,0,19,5,8,0,32,,,,,
Riverside,0,1,1887,392,721,17,3018,,,,,
Sacramento,80,18,1953,1170,481,2,3704,,,,,
San Benito,0,0,24,10,25,2,61,,,,,
San Bernardino,1,9,1447,567,1169,34,3227,,,,,
San Diego,0,17,5087,5324,1124,43,11595,,,,,
San Francisco,9,6,1543,1682,208,32,3480,,,,,
San Joaquin,0,0,558,381,220,5,1164,,,,,
San Luis Obispo,0,1,622,376,196,7,1202,,,,,
San Mateo,34,103,3382,3648,513,67,7747,,,,,
Santa Barbara,0,0,731,332,234,19,1316,,,,,
Santa Clara,2,75,8417,19787,1051,29,29361,,,,,
Santa Cruz,0,0,286,127,105,1,519,,,,,
Shasta,0,0,143,75,105,3,326,,,,,
Sierra,0,0,4,0,0,0,4,,,,,
Siskiyou,0,1,43,10,95,0,149,,,,,
Solano,2,0,462,184,275,3,926,,,,,
Sonoma,1,0,917,440,189,14,1561,,,,,
Stanislaus,0,1,214,96,113,6,430,,,,,
Sutter,0,0,23,16,16,2,57,,,,,
Tehama,0,0,98,58,33,0,189,,,,,
Trinity,0,0,10,2,10,0,22,,,,,
Tulare,0,3,209,69,85,23,389,,,,,
Tuolumne,0,0,63,5,33,0,101,,,,,
Ventura,4,0,691,343,233,11,1282,,,,,
Yolo,14,0,387,240,120,9,770,,,,,
Yuba,0,0,48,34,13,0,95,,,,,
Unknown,0,0,0,2551,0,0,2551,,,,,
,256,436,68632,93546,15639,732,179241,,,,,
