County,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Alameda,568,603,491,542,582,583,569,591,442,492,473,468
Amador,14,12,15,13,14,15,17,18,13,14,13,12
Butte,78,81,85,78,83,87,86,78,68,74,63,71
Calaveras,12,13,14,14,15,15,15,15,15,13,15,14
Colusa,10,13,10,9,11,12,13,13,15,16,13,11
Contra Costa,419,422,392,380,431,430,397,427,336,374,396,390
Del Norte,7,5,7,6,7,7,7,6,5,5,4,4
El Dorado,75,72,52,81,81,82,76,74,62,65,66,67
Fresno,341,344,300,331,358,367,368,376,347,387,371,372
Glenn,12,14,16,16,17,18,17,18,15,17,14,15
Humboldt,53,64,44,59,61,55,58,53,56,52,45,42
Imperial,54,58,83,79,86,83,89,86,64,74,66,74
Inyo,16,16,17,18,18,18,18,17,16,15,15,15
Kern,356,367,384,375,407,390,396,392,364,406,395,401
Kings,47,49,45,51,57,60,60,76,52,58,58,55
Lake,20,24,25,23,21,21,23,24,20,20,18,19
Lassen,6,6,8,9,8,6,5,7,6,7,6,6
Los Angeles,"3,451","3,445","3,749","3,465","3,577","3,659","3,638","3,559","2,770","3,061","3,070","3,039"
Madera,53,54,45,44,59,62,57,62,63,71,67,69
Marin,107,106,75,105,102,101,82,96,77,88,86,91
Mariposa,6,5,9,6,8,6,7,8,5,7,6,7
Mendocino,43,42,40,40,42,38,40,44,37,39,36,37
Merced,92,94,83,105,114,117,132,119,106,122,120,120
Mono,2,8,8,7,8,5,7,8,7,6,6,6
Monterey,147,177,126,184,177,174,181,174,141,162,174,157
Napa,58,52,39,63,57,53,61,57,44,47,49,47
Nevada,34,25,27,40,40,39,38,39,36,35,32,34
Orange,"1,355","1,332","1,465","1,370","1,375","1,382","1,402","1,325","1,029","1,159","1,176","1,150"
Placer,192,167,170,209,204,203,206,198,163,178,169,184
Plumas,7,4,8,7,5,6,6,6,6,7,8,7
Riverside,895,925,"1,010","1,039","1,035","1,052","1,052","1,046",876,981,981,980
Sacramento,560,568,442,584,600,599,586,600,689,557,535,544
San Benito,20,7,14,15,17,20,17,21,18,17,14,15
San Bernardino,878,889,948,909,"1,010",993,990,977,823,926,915,897
San Diego,"1,277","1,241","1,352","1,408","1,372","1,377","1,387","1,325","1,055","1,165","1,146","1,125"
San Francisco,149,161,102,134,134,134,120,118,91,99,97,97
San Joaquin,299,325,312,360,340,347,336,352,292,321,317,323
San Luis Obispo,124,140,145,147,142,142,150,138,115,125,123,116
San Mateo,306,311,229,304,325,326,304,322,238,269,265,271
Santa Barbara,166,172,178,186,181,170,191,177,146,168,170,166
Santa Clara,697,696,661,727,717,685,643,713,511,599,573,563
Santa Cruz,105,101,77,96,95,94,90,90,74,88,80,82
Shasta,91,83,79,95,82,92,87,82,76,79,77,84
Siskiyou,23,12,14,27,27,29,28,27,25,28,21,21
Solano,213,202,167,201,210,217,216,216,180,196,190,189
Sonoma,189,208,210,201,209,208,192,204,167,181,176,184
Stanislaus,205,183,229,252,244,253,244,245,197,243,220,220
Sutter,40,42,24,38,39,39,40,38,30,34,32,34
Tehama,27,24,26,30,29,29,31,30,26,30,27,26
Trinity,2,4,4,4,5,5,4,4,4,4,3,3
Tulare,142,116,155,143,152,167,168,174,149,181,181,194
Tuolumne,18,15,21,23,23,25,25,23,20,19,20,21
Ventura,310,314,358,321,330,338,342,329,262,294,303,302
Yolo,87,96,90,103,110,113,110,114,91,101,106,99
Yuba,26,30,20,30,36,34,46,32,35,40,36,34
